JOB ID,Tool,Total Usage
431,whatsapp,10.24619368
431,key,8.487469976
431,windows,7.746077241
431,radius,2.563515613
431,linux,1.303934496
7126,whatsapp,15.1229267
7126,radius,1.973785245
7126,windows,1.666499621
7126,key,0.684497797
7126,spass,0.645928351
7121,whatsapp,23.20890006
7121,radius,2.700317962
7121,windows,2.193707232
7121,instagram,1.651717661
7121,spass,1.541426823
8311,whatsapp,11.25686858
8311,recaptcha,3.262879789
8311,radius,2.993015739
8311,spass,1.904385708
8311,tex,1.294583884
2511,windows,181.7790379
2511,linux,56.36531957
2511,key,42.9531319
2511,unix,15.77909617
2511,power bi,11.88033749
2512,linux,148.0148841
2512,windows,140.237864
2512,mysql,66.28729138
2512,kubernetes,43.91967442
2512,ios,32.57410078
2513,mysql,95.60130852
2513,typescript,68.00054577
2513,linux,49.98860613
2513,kubernetes,34.57976382
2513,windows,34.29290517
2514,linux,224.593576
2514,ios,183.6337892
2514,windows,150.3842724
2514,typescript,41.61959656
2514,mysql,38.30546729
2519,windows,86.41911324
2519,linux,66.67727257
2519,matlab,29.73562469
2519,labview,27.56974679
2519,ios,18.21399017
