Year,Windows 7,Windows Server,Windows Server 2012,Exchange Server,Microsoft Word,Windows 10,Microsoft Excel,TypeScript,Windows Server 2008,Microsoft Office Suite,Microsoft PowerPoint,Dynamics 365,Microsoft Azure,Visual Studio,Power BI,Microsoft Access,Microsoft SQL Server,Windows Server 2016,.NET Framework,ASP.NET,Microsoft Outlook,PowerApps,Microsoft Surface,Windows 8
2015,6,26,8,2,3,,,,,,,,,,,,,,,,,,,
2016,1,4,,1,7,2,2,,,,,,,,,,,,,,,,,
2017,3,8,,,2,2,2,1,1,,,,,,,,,,,,,,,
2018,4,28,1,1,13,3,4,,3,2,1,4,1,1,,,,,,,,,,
2019,36,94,2,,5,53,11,,1,,1,2,1,2,2,4,2,2,5,4,,,,
2020,2,28,1,5,13,14,5,6,,1,,2,,3,,3,1,3,1,4,10,1,1,1
