Job Advertisement,Matched Tools
"  rangierer (m/w/d)

  berufskraftfahrer/in

  schicht_nachtarbeit_wochenende

  keine_angabe

  2021-04-03

  über uns die zukunft wird von menschen mit visionen und innovativen ideen geprägt - menschen wie ihnen! verschaffen sie ihrer karriere mit der rosinke gmbh einen vorsprung in einem internationalen und innovativen arbeitsumfeld. als experte für die bereiche industrie & technik, lager- und logistikdienstleistung sowie office & management in unterschiedlichsten hochtechnologiebranchen kennt die rosinke gmbh die qualitativen anforderungen des marktes und bietet ihnen eine individuelle rundumbetreuung. kommen sie als rangierer (m/w/d) und als einer von 1.500 experten in unser team und verschaffen sie unseren kunden an 25 standorten einen vorsprung. ihr profil - einen gültigen führerschein ce mit schlüsselzahl 95 - idealerweise berufserfahrung als rangierer (m/w/d) - körperlich fit und belastbar sowie flexibel, zuverlässig und engagiert - hilfsbereiter teamplayer mit freude an selbstständiger arbeit ihre aufgaben - rangieren von wechselbrücken auf dem betriebsgelände des paketzentrums -
  pflege und betankung der fahrzeuge des fuhrparks - einsatz im 3-schichtbetrieb was wir ihnen als rangierer (m/w/d) bieten - 13,00 ? stundenlohn - nachtdienstzuschlag - familienfreundliche vollzeitstelle als rangierer (m/w/d) - übernahme der kosten für die berufskraftfahrer-weiterbildung nach bkrfqg - übernahmemöglichkeit durch unseren kunden alle stellenausschreibungen richten sich stets an bewerber (m/w/d), unabhängig von alter geschlecht, ethnischer zugehörigkeit, sexueller orientierung, behinderung, religion und weltanschauung etc. die bewerberauswahl erfolgt ausschließlich qualifikationsorientiert. ihr kontakt jenny herklotz niederlassungsleiterin t: 03321/ 74 88 720 rosinke personalservice gmbh gartenstraße 52 14641 nauen

  berufseinsteiger

  rosinke personalservice gmbh niederlassung nauen

  14641

  nauen, havelland

  deutschland","['w', 'w', 'w', 'w', 'w', 'w']"
"  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  weiterbildung lokführer online (m/w/d)

  03042 brandenburg - cottbus
  08.04.2021
  anzeigennr.: 1726529993

  beschreibung

  bei uns hast du jetzt die chance deine ausbildung online zum triebfahrzeugführer zu starten.
  die ausbildung ist daher bundesweit möglich. du benötigst nur eine stabile internetverbindung.

  natürlich werden dir alle notwendigen unterlagen und ein laptop von uns während der ausbildung gestellt.

  bei uns bekommst du die chance für deine berufliche zukunft! dich erwartet eine anspruchsvolle
  10-monatige ausbildung in theorie und auf der schiene. durch qualifizierte dozenten
  bekommst du eine top ausbildung mit späterer übernahmegarantie nach abschluss der prüfung.

  nach erfolgreich abgeschlossener ausbildung erwarten dich:
  - 100% übernahme
  - bahncard 100
  - sehr guter verdienst 3.000? netto
  - eigenverantwortung
  - krisensicherer job
  - gute karrieremöglichkeiten

  folgende voraussetzung musst du mitbringen:
  - mind. 20 jahre
  - hauptschulabschluss oder gleichwertige ausbildung
  - kein laufendes mpu verfahren oder punkteabbauseminar
  - reisebereitschaft (einsatzorte deutschlandweit)
  - schichtdienst
  - für personen über 50 geeignet!

  nutze jetzt deine chance und bewirb dich!
  weitere infos auch gerne telefonisch!

  tel. 051219349685
  sprechzeiten sind mo-fr von 08.00-15.00uhr

  ebs hildesheim gmbh
  langer garten 19
  31137 hildesheim
  tel. 051219349685
  web: www.ebs-hildesheim.de
  *
  * zur merkliste hinzufügen

  fehler

  anzeige teilen

  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  * eh ebs hildesheim gmbh
  gewerblicher nutzer
  aktiv seit 08.04.2021
  * 05121... anzeigen
  __________________________________________________

  * 21 anzeigen online
  * folgen

  * anzeige melden
  * anzeige drucken","['e-mail', 'w', 'e-mail']"
"  ausbilder für triebfahrzeugführer (w/m/d)

  8 april deutsche bahn
  status: offen
  bewerben

  bewirb dich auf der webseite des arbeitgebers
  ausbilder für triebfahrzeugführer (w/m/d) fachkraft startdatum: ab sofort job-nr.: 79722
  * db cargo ag
  * seddiner see
  * verkehrsberufe
  * vollzeit/teilzeit (dauer: unbefristet)
  * bewerbungsfrist: offen

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter. und das in ganz deutschland. ob erfahrene profis oder berufsstarter - wir bieten zahlreiche einstiegs- und weiterbildungsmöglichkeiten.
  deine vorteile mehr erfahren

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  zum nächstmöglichen zeitpunkt suchen wir dich als ausbilder für triebfahrzeugführer für die db cargo ag am standort seddin.
  deine aufgaben:
  * deine hauptaufgabe ist die durchführung von aus- und fortbildungsmaßnahmen für triebfahrzeugführer
  * du konzipierst und entwickelst trainings und stimmst die vorgehensweise mit anderen trainern ab
  * den wissensstand der teilnehmer überprüfst du und leitest maßnahmen zur individuellen weiterentwicklung ein
  * bei arbeitskreisen, fachkompetenzteams und projekten wirkst du mit

  dein profil:
  * du bist im besitz eines aktiven triebfahrzeugführerscheines mit zusatzbescheinigung der klasse a/b2 im güterverkehr
  * du hast mindestens 3 jahre erfahrung als triebfahrzeugführer und bringst die uneingeschränkte tauglichkeit mit
  * eine pädagogische grundausbildung bzw. die bereitschaft zum erwerb
  * deine hervorragende kommunikationsfähigkeit und teamfähigkeit zeichnen dich aus
  * du arbeitest gern selbstständig und eigeninitiativ
  * die gängigen ms office anwendungen beherrscht du

  deine vorteile

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  art des stellenangebotes:
  intern

  fähigkeiten

  * es ist kein abschluss erforderlich

  was wir bieten

  vertrag:
  vollzeit/teilzeit (dauer: unbefristet)
  logistik und lager triebfahrzeugführer ausbilder
  bewerben

  bewirb dich auf der webseite des arbeitgebers
  oder bewirb dich später
  dies ist keine korrekte e-mail adresse-
  bitte fülle alle felder aus.
  beweise, dass du kein roboter bist
  beim versenden der e-mail ist etwas schief gelaufen. bitte versuche es erneut.
  deine e-mail wurde verschickt.
  deine e-mail adresse","['w', 'w', 'ms office', 'e-mail', 'e-mail', 'e-mail', 'e-mail']"
"  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  werden sie lokführer/triebfahrzeugführer online (m/w/d)

  16515 brandenburg - zehlendorf
  08.04.2021
  anzeigennr.: 1726718541

  beschreibung

  bei uns hast du jetzt die chance deine ausbildung online zum triebfahrzeugführer zu starten.
  die ausbildung ist daher bundesweit möglich. du benötigst nur eine stabile internetverbindung.

  natürlich werden dir alle notwendigen unterlagen und ein laptop von uns während der ausbildung gestellt.

  bei uns bekommst du die chance für deine berufliche zukunft! dich erwartet eine anspruchsvolle
  10-monatige ausbildung in theorie und auf der schiene. durch qualifizierte dozenten
  bekommst du eine top ausbildung mit späterer übernahmegarantie nach abschluss der prüfung.

  nach erfolgreich abgeschlossener ausbildung erwarten dich:
  - 100% übernahme
  - bahncard 100
  - sehr guter verdienst 3.000? netto
  - eigenverantwortung
  - krisensicherer job
  - gute karrieremöglichkeiten

  folgende voraussetzung musst du mitbringen:
  - mind. 20 jahre
  - hauptschulabschluss oder gleichwertige ausbildung
  - kein laufendes mpu verfahren oder punkteabbauseminar
  - reisebereitschaft (einsatzorte deutschlandweit)
  - schichtdienst
  - für personen über 50 geeignet!

  nutze jetzt deine chance und bewirb dich!
  weitere infos auch gerne telefonisch!

  tel. 051219349685
  sprechzeiten sind mo-fr von 08.00-15.00uhr

  ebs hildesheim gmbh
  langer garten 19
  31137 hildesheim
  tel. 051219349685
  web: www.ebs-hildesheim.de
  *
  * zur merkliste hinzufügen

  fehler

  anzeige teilen

  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  * eh ebs hildesheim gmbh
  gewerblicher nutzer
  aktiv seit 08.04.2021
  * 05121... anzeigen
  __________________________________________________

  * 19 anzeigen online
  * folgen

  * anzeige melden
  * anzeige drucken","['e-mail', 'w', 'e-mail']"
"  quereinstieg zum triebfahrzeugführer/lokführer (m/w/d)

  eisenbahner/in - betriebsdienst - lokführer und transport

  vollzeit

  unbefristet

  2021-04-09

  die odeg - ostdeutsche eisenbahn gmbh ist ein eisenbahnverkehrsunternehmen, das seit 2002 mit rund 495 mitarbeiterinnen und mitarbeitern und 49 fahrzeugen täglich nahverkehrsleistungen zwischen wismar und zittau erbringt. sie suchen einen neuen, spannenden job, begeistern sich für technik und schichtdienst ist kein problem für sie ist? dann sind sie bei der odeg genau richtig. werden sie triebfahrzeugführer/lokführer (m/w/d) bei der odeg in berlin! ihr aufgaben: - sie sind verantwortlich für das sichere und zuverlässige bedienen unserer triebwagen im schienenpersonennahverkehr in den bundesländern berlin, brandenburg, mecklenburg-vorpommern und sachsen - sie gewährleisten ordnung und sicherheit in den triebfahrzeugen sie führen den vorbereitungs- und abschlussdienst aus (inkl. erforderlicher zusatzarbeiten wie z.b. entsorgung des wc-systems) - sie sichern eine verständliche und umfassende fahrgastinformation - sie unterstützen die servicemitarbeiter/-in bei der fahrgastbetreuung und
  geben hilfestellung für mobilitätseingeschränkte fahrgäste ihr profil: - eisenbahnfahrzeugführerschein klasse 3 oder klasse b - idealerweise ausbildung für verschiedene fahrzeugtypen, bevorzugt für die br 650, br 643, br 646, br 642 und/oder br 445 - flexibilität und bereitschaft zur schichtarbeit - verantwortungsbewusstsein, ausdauer bei schwierigen aufgaben sowie besonnenes handeln in hektischen situationen - absolute zuverlässigkeit und pünktlichkeit - gute deutschkenntnisse in wort und schrift - mobilität (führerschein und kfz) sie haben noch keine ausbildung als triebfahrzeugführer (m/w/d) möchten aber gern diesen beruf ausüben? dann lassen sie sich von der agentur für arbeit beraten. für die qualifizierung wäre ein bildungsgutschein der arbeitsagentur wünschenswert. wir freuen uns auf ihre bewerbung!

  odeg ostdeutsche eisenbahn gmbh

  frankfurt (oder)

  deutschland","['w', 'w', 'w']"
"  revierfahrer (m/w/d) für potsdam dringend!

  * potsdam
  * veröffentlicht vor 10 stunden

  maxxu personalvermittlung heiko werner

  bitte beziehen sie sich bei ihrer bewerbung auf die kennziffer 8100.

  stellenbeschreibung
  wenn sie eine stelle im revierdienst suchen und alle nötigen anforderungen erfüllen können, dann senden sie uns ihre bewerbung.

  aufgaben

  - zugangs- und verschlusskontrollen
  - unterstützung bei alarmverfolgung
  - dokumentationsaufgaben

  anforderungen
  - sachkundeprüfung nach §34 a gewo / unterrichtung nach §34a
  - führrerschein klasse b / alt: 3 ( zwingend )
  - sehr gute deutschkenntnisse

  [bewerbung]
  sagt ihnen diese stelle zu? dann bewerben sie sich bei uns! wir haben ein großes netzwerk und starke partner!
  die stellen unserer kunden sind in der regel nicht öffentlich ausgeschrieben, daher ist die zahl ihrer mitbewerber gering.

  wir freuen uns auf ihre bewerbung!

  bitte haben sie dafür verständnis, dass wir bewerbungsmappen nur mit einem beiliegenden und ausreichend frankierten rückumschlag zurück senden.
  bewerbungen ohne hochwertige mappen werden genauso akzeptiert.

  die maxxu personalvermittlung heiko werner ist vom tüv nord geprüft und als träger nach azav mit der zertifizierungsnummer 44 727 127746 zugelassen.

  um sich für diesen job zu bewerben, sende deine unterlagen per e-mail an s.werner@maxxu.de
  __________________________________________________

  sie können sich auch online über folgenden button bewerben:","['w', 'e-mail']"
" falkenberg (elster) und torgau 8311 deutsche bahn ag   torgau

  e-mail: [javascript protected email address]
  hier bewerben

  deutsche bahn ag

  * torgau
  * post datum: 11.04.2021

  weichenwã¤rter (w/m/d) im raum altenburg, leipzig, zeitz, falkenberg (elster) und torgau

  zum nã¤chstmã¶glichen zeitpunkt suchen wir dich als weichenwã¤rter fã¼r die produktionsdurchfã¼hrung leipzig der db netz ag im raum altenburg, leipzig, zeitz, falkenberg (elster) und torgau.
  deine aufgaben:
  * du bist fã¼r die sichere durchfã¼hrung von zug- und rangierfahrten im zugewiesenen bereich eigenverantwortlich zustã¤ndig und stellst weichen und signale
  * weiterhin bist du fã¼r die betriebliche kommunikation und das fã¼hren betrieblicher unterlagen verantwortlich
  * auch das bedienen von dispositionssystemen gehã¶ren zu deinen tã¤glichen aufgaben
  * du arbeitest mit mehreren betriebsstellen und instandhaltungspersonalen zusammen und tauscht dich mit ihnen aus

  dein profil:
  * du besitzt die befã¤higung zum weichenwã¤rter und konntest bereits berufserfahrung sammeln
  * belastbarkeit, teamfã¤higkeit und eine ausgeprã¤gte kundenorientierung zeichnen dich aus
  * du bringst eine uneingeschrã¤nkte tauglichkeit fã¼r den betriebsdienst sowie eine uneingeschrã¤nkte schichtdiensttauglichkeit mit
  * flexibilitã¤t und ã¶rtliche mobilitã¤t (dauerhafter einsatz auf stellwerken im umkreis von bis zu 70 km bzw. 90 minuten um den wohnort mã¶glich)
  * fã¼hrerschein klasse b und pkw sind vorhanden
  __________________________________________________

  kontakt-infos

  unternehmen deutsche bahn ag
  hier bewerben","['e-mail', 'protected email', 'email', 'w']"
"  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  weiterbildung zum lokführer online (m/w/d)

  03130 brandenburg - spremberg
  08.04.2021
  anzeigennr.: 1726526990

  beschreibung

  bei uns hast du jetzt die chance deine ausbildung online zum triebfahrzeugführer zu starten.
  die ausbildung ist daher bundesweit möglich. du benötigst nur eine stabile internetverbindung.

  natürlich werden dir alle notwendigen unterlagen und ein laptop von uns während der ausbildung gestellt.

  bei uns bekommst du die chance für deine berufliche zukunft! dich erwartet eine anspruchsvolle
  10-monatige ausbildung in theorie und auf der schiene. durch qualifizierte dozenten
  bekommst du eine top ausbildung mit späterer übernahmegarantie nach abschluss der prüfung.

  nach erfolgreich abgeschlossener ausbildung erwarten dich:
  - 100% übernahme
  - bahncard 100
  - sehr guter verdienst 3.000? netto
  - eigenverantwortung
  - krisensicherer job
  - gute karrieremöglichkeiten

  folgende voraussetzung musst du mitbringen:
  - mind. 20 jahre
  - hauptschulabschluss oder gleichwertige ausbildung
  - kein laufendes mpu verfahren oder punkteabbauseminar
  - reisebereitschaft (einsatzorte deutschlandweit)
  - schichtdienst
  - für personen über 50 geeignet!

  nutze jetzt deine chance und bewirb dich!
  weitere infos auch gerne telefonisch!

  tel. 051219349685
  sprechzeiten sind mo-fr von 08.00-15.00uhr

  ebs hildesheim gmbh
  langer garten 19
  31137 hildesheim
  tel. 051219349685
  web: www.ebs-hildesheim.de
  *
  * zur merkliste hinzufügen

  fehler

  anzeige teilen

  * via e-mail teilen
  * via facebook teilen
  * via twitter teilen
  * via pinterest teilen

  * eh ebs hildesheim gmbh
  gewerblicher nutzer
  aktiv seit 08.04.2021
  * 05121... anzeigen
  __________________________________________________

  * 21 anzeigen online
  * folgen

  * anzeige melden
  * anzeige drucken","['e-mail', 'w', 'e-mail']"
"  quereinsteiger für umschulung zum rangierbegleiter (w/m/d)

  7 april deutsche bahn
  status: offen
  bewerben

  bewirb dich auf der webseite des arbeitgebers
  quereinsteiger für umschulung zum rangierbegleiter (w/m/d) fachkraft startdatum: 1. september 2021 job-nr.: 84835
  * db cargo ag
  * seddiner see
  * verkehrsinfrastruktur, projektmanagement, verkehrsberufe
  * vollzeit/teilzeit (dauer: unbefristet)
  * ab 01.09.2021
  * bewerbungsfrist: offen

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.
  deine vorteile mehr erfahren

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  zum 01.09.2021 suchen wir dich als quereinsteiger für eine umschulung zum rangierbegleiter für das geschäftsfeld db cargo ag am einsatzort seddin. in der ca. 3-monatigen innerbetrieblichen umschulung am ausbildungsort seddin / berlin bereiten wir dich auf deinen jobeinstieg vor.
  deine aufgaben:
  * du bist verantwortlich für rangierarbeiten bei der zugauflösung und zugbildung (z.b. langmachen, kuppeln) 
  * du bist für die zugvorbereitung zuständig und verantwortest die bremsprobe
  * die sichtkontrolle von wagen sowie die nutzung von edv-systemen gehören zu deinen aufgaben
  * bei rangierfahrten unterstützt du den lokrangierführer bei der beobachtung des fahrweges
  * du übernimmst die kommunikation bspw. zu lokrangierführern, disponenten, weichenwärtern
  * du informierst dich bspw. durch die nutzung von tablets über neuerungen in dienstabläufen

  das erwartet dich bei der umschulung:
  * die umschulung findet in vollzeit (39h/woche) statt und setzt sich aus theoretischen und praktischen unterrichtsabschnitten zusammen
  * die ausbildungsklassen bestehen aus ca. 10 personen
  * im rahmen der umschulung als rangierbegleiter erwirbst du gleichzeitig die abschlüsse als zugvorbereiter und bremsprobeberechtigter

  dein profil:
  * idealerweise hast du die schule erfolgreich abgeschlossen
  * du bist bereit, deine medizinische und psychologische eignung für den betriebsdienst nachzuweisen (die tauglichkeit wird im rahmen der einstellung durch einen betriebsarzt geprüft)
  * schicht- und wechseldienst, auch an sonn- und feiertagen, machen dir nichts aus
  * spaß an körperlicher arbeit im freien und die bereitschaft zur weiterbildung sind für dich selbstverständlich
  * deine arbeitsweise zeichnet sich durch zuverlässigkeit, teamfähigkeit und verantwortungsbewusstsein aus
  * die nutzung von digitalen medien ist für dich keine herausforderung
  * du hast sehr gute kenntnisse der deutschen sprache in wort und schrift (mind. c1 niveau)
  * bestenfalls verfügst du über einen pkw-führerschein

  bewerbungen bereits ausgebildeter rangierbegleiter sind selbstverständlich ebenso willkommen. deine vorteile

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  art des stellenangebotes:
  intern

  fähigkeiten

  * es ist kein abschluss erforderlich

  was wir bieten

  vertrag:
  vollzeit/teilzeit (dauer: unbefristet)
  it edv projektmanagement schule
  bewerben

  bewirb dich auf der webseite des arbeitgebers
  oder bewirb dich später
  dies ist keine korrekte e-mail adresse-
  bitte fülle alle felder aus.
  beweise, dass du kein roboter bist
  beim versenden der e-mail ist etwas schief gelaufen. bitte versuche es erneut.
  deine e-mail wurde verschickt.
  deine e-mail adresse","['w', 'w', '1', 'e-mail', 'e-mail', 'e-mail', 'e-mail']"
"  more_vert

  triebfahrzeugführer (w/m/d)

  stellendetails:

  arbeitsort
  16348 wandlitz, brandenburg, deutschland
  __________________________________________________

  beruf:
  eisenbahner / eisenbahnerin im betriebsdienst fachrichtung lokführer und transport
  __________________________________________________

  branche:
  logistik u. materialwirtschaft (einkauf, lager, transport v. güter u. personen)
  __________________________________________________

  tätigkeitsbereich:
  logistik u. materialwirtschaft (einkauf, lager, transport v. güter u. personen)
  __________________________________________________

  klassifikation:
  direkte personalvermittlung
  __________________________________________________

  vertrag:
  vollzeit
  jetzt bewerben

  als eines der erfolgreichsten und innovativsten personaldienstleistungsunternehmen in deutschland suchen wir für unseren renommierten kunden in basdorf ab sofort einen

  triebfahrzeugführer (m/w/d)

  ihre aufgaben:

  * verantwortlich für das sichere, pünktliche und wirtschaftliche bedienen sowie führen der fahrzeuge gemäß den anzuwendenden bestimmungen
  * durchführen von vorbereitungs- und abschlussdiensten
  * überwachen der funktion des triebfahrzeuges einschließlich der beurteilung der einsatzfähigkeit bei technischen mängeln und störungen
  * eigenverantwortliche beseitigung von schäden und störungen im rahmen erlaubter eingriffe gemäß störfallhandbuch
  * ausführung schriftlicher arbeiten im zusammenhang mit dem triebfahrzeug-fahrdienst

  ihr profil:

  * besitz triebfahrzeugführerschein klasse 3 sowie die gesundheitliche und psychologische eignung
  * umfassende kenntnisse des eisenbahnbetriebes und des arbeitsschutzes
  * zeitliche flexibilität sowie bereitschaft zum schichtdienst und zur wochenendarbeit
  * kundenfreundliches, serviceorientiertes und eigenverantwortliches handeln
  * kommunikativ, teamfähig
  * können sich flexibel auf vielfältige situationen einstellen
  * gute deutschkenntnisse, gern auch in englische sprache

  was wir ihnen bieten:

  * einen festen arbeitsvertag nach bap-tarifvertrag
  * eine übertarifliche vergütung zzgl. urlaubs- und weihnachtsgeld
  * einen interessanten und ihren qualifikationen entsprechenden arbeitsplatz
  * eine übernahmeperspektive durch das kundenunternehmen

  ihr weg zu uns:

  falls sie sich direkt bewerben wollen, so können sie uns gerne ihren lebenslauf per email senden oder uns ihre daten über die angebotene online-bewerbung zukommen lassen. bei der online-bewerbung können sie nach eingabe ihrer kontaktdaten ihren lebenslauf ""hochladen"". dies dauert nur 1 minute. bewerben sie sich doch gleich.

  die stelle entspricht nicht ihren vorstellungen oder sie erfüllen noch nicht jede einzelne anforderung aus der stellenanzeige? lassen sie sich nicht aufhalten sich trotzdem zu bewerben.

  bewerben sie sich initiativ und wir finden gemeinsam heraus, welche unserer vakanzen passt und was ggf. an bestimmten kenntnissen oder fähigkeiten noch fehlt, bringen wir ihnen gerne bei.

  wir freuen uns darauf, sie kennen zu lernen!

  bitte senden sie uns ihre aussagekräftigen bewerbungsunterlagen per mail an: berlin.engineering@dekra.com

  oder kontaktieren uns telefonisch unter: 030 206735870.

  bitte haben sie verständnis dafür, dass wir postalisch gesandte unterlagen nicht zurücksenden.

  die dekra arbeit gmbh gehört als teil der dekra se zu den top 6 personaldienstleistern in deutschland und zu den am stärksten wachsenden personaldienstleistern in europa.

  an derzeit über 120 bundes- und europaweiten standorten haben wir es uns zur aufgabe gemacht, flexible personallösungen zu etablieren und so den regionalen arbeitsmarkt positiv mitzugestalten. helfen sie mit, dieses erfolgsmodell weiter auszubauen und bewerben sie sich noch heute.
  __________________________________________________

  jetzt bewerben

  hier finden sie die zuständige dekra-arbeit-geschäftsstelle:


  dekra arbeit gmbh berlin - fachbereich engineering poststraße 4-5 10178 berlin deutschland tel.: +49 30 20 67 35 87 0 fax: +49 30 20 67 35 89 9

  die dekra arbeit gruppe, eine tochtergesellschaft der dekra se, gehört zu den erfolgreichsten vermittlungsorientierten personaldienstleistern in deutschland.

  an derzeit über 120 bundes- und europaweiten standorten haben wir es uns zur aufgabe gemacht, flexible personallösungen zu etablieren und so den regionalen arbeitsmarkt positiv mitzugestalten. helfen sie mit, dieses erfolgsmodell weiter auszubauen und bewerben sie sich noch heute.

  folgende stellenangebote könnten sie auch interessieren:

  triebfahrzeugführer (w/m/d)

  eberswalde
  triebfahrzeugführer (m/w/d)

  ihre aufgaben:
  * verantwortlich für das sichere, pünktliche und wirtschaftliche bedienen sowie führen der fahrzeuge gemäß den anzuwendenden bestimmungen
  * durchführen von vorbereitungs- und abschlussdiensten
  * überwachen der funktion des triebfahrzeuges einschließlich der beurteilung der einsatzfähigkeit bei technischen mängeln und störungen?

  triebfahrzeugführer (w/m/d)

  berlin
  triebfahrzeugführer (m/w/d)

  ihre aufgaben:
  * verantwortlich für das sichere, pünktliche und wirtschaftliche bedienen sowie führen der fahrzeuge gemäß den anzuwendenden bestimmungen
  * durchführen von vorbereitungs- und abschlussdiensten
  * überwachen der funktion des triebfahrzeuges einschließlich der beurteilung der einsatzfähigkeit bei technischen mängeln und störungen?

  triebfahrzeugführer (w/m/d)

  küstriner vorland
  triebfahrzeugführer (m/w/d)

  ihre aufgaben:
  * verantwortlich für das sichere, pünktliche und wirtschaftliche bedienen sowie führen der fahrzeuge gemäß den anzuwendenden bestimmungen
  * durchführen von vorbereitungs- und abschlussdiensten
  * überwachen der funktion des triebfahrzeuges einschließlich der beurteilung der einsatzfähigkeit bei technischen mängeln und störungen?
  weitere ähnliche jobs anzeigen","['w', 'w', 'email', '1', '4', 'w', 'w', 'w', 'w', 'w', 'w']"
