Job Advertisement,Matched Tools
"  ausbildung zum lokrangierführer/ lokführer im güterverkehr (w/m/d) 2022

  727673320220401

  01 april 2022

  seddin, brandenburg

  deutsche bahn ag

  die deutsche bahn ist eine der vielfältigsten arbeitgeberinnen deutschlands. wir suchen jedes jahr deutschlandweit über 3.000 auszubildende in 50 berufen, die mit uns gemeinsam noch besser werden wollen.
  aufgaben zum 1. september 2022 suchen wir dich für die 3-jährige ausbildung zum lokrangierführer (eisenbahner im betriebsdienst fachrichtung lokführer/transport (w/m/d)) bei der db cargo..... klicken sie bewerben, für die volle stellenbeschreibung","['w', '1', 'w']"
"  lokführerin im güterverkehr (w/m/d) in 01968 senftenberg gesucht

  stellenangebot im regiobizz arbeitsmarkt
  suche nach plz
  ort
  suchwort(e)

  stellenangebot basisdaten

  firma, ort:
  deutsche bahn ag, de 01968 senftenberg

  job-kategorie:
  einkauf, logistik

  letze aktualisierung:
  03.04.20222022-04-03

  online bewerben - klicken sie hier um das online bewerbungsformular zu öffnen

  stellenausschreibung: lokführerin im güterverkehr (w/m/d)

  firma
  deutsche bahn ag in senftenberg

  job-info
  zum 01. august 2022 suchen wir dich als direkteinstieg zur lokführerin für das geschäftsfeld db cargo ag an den einsatzorten dresden, senftenberg, magdeburg, halle, eisenach und saalfeld. nach einem eingangscheck planen wir individuell innerbetriebliche anpassungs- / weiterbildungen orientiert am bedarf zum einsatz als streckenlokführer im güterzugdienst der db cargo ag. deine aufgaben: * als lokführerin im güterverkehr transportierst du vielfältige güter unserer kunden * die sichere und zeitgerechte beförderung der güter liegt in deiner verantwortung * die technische und betriebliche vorbereitung des triebfahrzeugs und des zuges, sowie das erkennen und beseitigen von kleineren störungen gehören ebenfalls zu deinen aufgaben * du bedienst verschiedene e- und diesel-lok-baureihen dein profil: * du bist ein ausgebildeter und im einsatz erfahrener triebfahrzeugführerin mit eu-führerschein und zusatzbescheinigungen in den klassen a und b2 * du kannst nachweise (< 18 monate
  zurückliegend) zu direkten überwachungen (simulator und ""begleitfahrten"") beibringen * du verfügst über umfangreiche strecken- und bahnhofskenntnis sowie über eine uneingeschränkte medizinische und psychologische eignung für den betriebsdienst (die tauglichkeit wird im rahmen der einstellung durch einen betriebsarzt geprüft) * schicht- und wechseldienst, auch an sonn- und feiertagen, machen dir nichts aus * verständnis für technische zusammenhänge und die bereitschaft zur weiterbildung sind für dich selbstverständlich * deine arbeitsweise zeichnet sich durch verantwortungsbewusstsein, flexibilität und kundenorientierung aus * du hast gute kenntnisse der deutschen sprache in wort und schrift (mind. b2 niveau) * die bereitschaft zum erwerb von sprachkenntnissen in tschechisch wird für den einsatz am einsatzort dresden gewünscht, in der polnischen sprache für den einsatz am einsatzort senftenberg * idealerweise bringst du einen pkw-führerschein mit viele gute gründe sprechen für
  einen wechsel: * theoretische und praktische unterrichtsabschnitte im rahmen der fortbildungen * du erhältst eine moderne ausbildung unter einsatz von simulatoren und tablets * bei abschluss erwirbst du die zusatzbescheinigung der db cargo deutschland ag * weitere tfz-baureihen, betriebsverfahren und zugsicherungssysteme werden bedarfsgerecht ausgebildet aufgaben: qualifikationen:

  arbeitsstellen werden angeboten in:

  01968 senftenberg (deutschland)

  stellenangebot powered by

  die veröffentlichung dieses stellenangebotes bei regiobizz.de erfolgt mit freundlicher genehmigung von stellenonline im namen des stellenanbieters. eine gewerbliche nutzung dieser daten sowie deren veröffentlichung in jeder form ist ohne ausdrückliche genehmigung von stellenonline strengstens untersagt.","['w', 'w']"
"  quereinsteigerin für umschulung zur lokführerin im güterverkehr (w/m/d)

  * senftenberg

  * erschienen: 06.04.2022

  wir haben eine vielzahl wichtiger berufe, für die spezielles wissen notwendig ist. deswegen setzen wir auf menschen, die sich beruflich neu orientieren und entwickeln möchten, z. b. nach einer elternzeit. bereits während der umschulung bekommst du ein attraktives gehalt. nach dem quereinstieg arbeitest du dann auf augenhöhe mit deinen kollegen.

  als lokführer bist du für den sicheren und pünktlichen transport der güter auf der schiene für unsere kunden zuständig.
  zum nächstmöglichen zeitpunkt suchen wir dich als quereinsteiger für eine umschulung zum lokführer im güterverkehr für das geschäftsfeld db cargo ag am standort senftenberg. in der 12-monatigen innerbetrieblichen umschulung am ausbildungsort nürnberg bereiten wir dich auf deinen jobeinstieg vor.
  das erwartet dich bei der umschulung:
  * die umschulung findet in vollzeit (39h/woche) statt und setzt sich aus theoretischen und praktischen unterrichtsabschnitten zusammen
  * die ausbildungsklassen bestehen aus ca. 12 teilnehmern
  * du erhältst eine moderne ausbildung, auch unter einsatz von simulatoren und tablets
  * bei erfolgreichem abschluss erwirbst du den europäischen triebfahrzeugführerschein

  nach deiner umschulung übernimmst du folgende tätigkeiten:
  * als lokführer im güterverkehr transportierst du vielfältige güter wie z. b. tonnenschwere erze oder die neuesten pkw-modelle
  * die zeitgerechte bereitstellung der güter, beim kunden liegt in deiner verantwortung
  * du hast selten routine, denn du fährst verschiedenste lok-baureihen auf unterschiedlichen strecken und bekommst so einen einblick in unser großes schienennetz
  * die technische abfahrbereitschaft der züge (kuppeln, bremsprobe etc.) prüfst du selbstständig und zuverlässig vor jedem fahrtantritt
  * du bist dein eigener chef, trägst keine uniform und hast einen traumberuf zwischen nostalgie und modernität

  dein profil:
  * du hast eine erfolgreich abgeschlossene berufsausbildung, z. b. im gewerblich-technischen bereich als elektriker, mechatroniker, schlosser
  * deine uneingeschränkte körperliche und psychologische tauglichkeit (wird im rahmen des auswahlverfahren durch einen betriebsarzt überprüft)
  * dich zeichnet dein hohes verantwortungsbewusstsein, eine ausgeprägte lernbereitschaft, flexibilität und kundenorientierung aus
  * du verfügst über einen gültigen pkw-führerschein und hast keinen eintrag im fahreignungsregister
  * außerdem bist du mindestens 20 jahre alt und bereit, im schicht- und wechseldienst, auch an sonn- und feiertagen, zu arbeiten
  * gute kenntnisse der deutschen sprache in wort und schrift (mind. b1 niveau)

  bewerbungen bereits ausgebildeter lokführer sind selbstverständlich ebenso willkommen.
  benefits:
  * wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.
  * du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.
  * du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.

  chancengleichheit und selbstbestimmte teilhabe schwerbehinderter und gleichgestellter sowie eine respektvolle zusammenarbeit sind innerhalb des db konzerns fest verankerte grundsätze. deshalb werden schwerbehinderte bewerber bei gleicher eignung bei bevorzugt berücksichtigt.",['w']
"  speichern teilen

  ausbildung lokführer im regionalverkehr (w/m/d) 2022

  deutsche bahn

  14641 nauen
  01.09.2022
  duale ausbildung
  jetzt bewerben

  stellenbeschreibung

  die deutsche bahn ist eine der vielfältigsten arbeitgeberinnen deutschlands. wir suchen jedes jahr deutschlandweit über 3.000 auszubildende in 50 berufen, die mit uns gemeinsam noch besser werden wollen.

  zum 1. september 2022 suchen wir dich für die 3-jährige ausbildung zum lokführer (eisenbahner im betriebsdienst fachrichtung lokführer/ transport (w/m/d)) bei der db regio ag in nauen/rathenow. die gesamte praktische und theoretische ausbildung findet in berlin statt. die übernahme nach der ausbildung ist für nauen/rathenow geplant.
  deine aufgaben:
  während deiner ausbildung zum lokführer
  * machst du dich mit den regeln des sicheren und reibungslosen bahnbetriebs vertraut
  * lernst du das rangieren, bereitstellen und fahren von zügen im regelbetrieb und bei abweichung vom regelbetrieb
  * erfährst du, wie man fahrzeugstörungen erkennt und beseitigt
  * sorgst du dafür, dass unsere kunden sicher, pünktlich und zuverlässig ihr ziel erreichen
  dein profil:
  * du hast die mittlere reife (bald) erfolgreich abgeschlossen und spaß an technik
  * du bist bereit, auch am wochenende und an feiertagen zu arbeiten
  * du bist verantwortungsbewusst, belastbar und zuverlässig
  * du bewahrst auch in schwierigen situationen die ruhe und behältst den überblick
  * du scheust dich nicht davor, verantwortung zu übernehmen und entscheidungen zu treffen
  * du möchtest während deiner ausbildung das großstadtleben kennenlernen aber siehst deine langfristige zukunft in deiner ländlichen heimatregion

  für diese stelle erwartet dich im rahmen des auswahlprozesses eine eignungsuntersuchung. auf unserer karriereseite erfährst du alles über die hintergründe, den ablauf und die ideale vorbereitung.
  benefits:
  * je nach ausbildungsjahr zwischen 1.019 euro und 1.222 euro im monat sowie ein 13. monatsgehalt. die beschäftigungsbedingungen gelten für den weit überwiegenden teil der auszubildenden im db konzern.
  * wir bieten dir 16 freifahrten innerhalb deutschlands pro jahr und weitere fahrvergünstigungen wie z.b. db job-ticket für deinen täglichen arbeitsweg.
  * zuschuss bis 350 ? monatlich.

  chancengleichheit und selbstbestimmte teilhabe schwerbehinderter und gleichgestellter sowie eine respektvolle zusammenarbeit sind innerhalb des db konzerns fest verankerte grundsätze. deshalb werden schwerbehinderte bewerber bei gleicher eignung bei bevorzugt berücksichtigt.

  video

  ich bin damit einverstanden, dass mir inhalte von youtube angezeigt werden.

  stellendetails

  stellendetails:

  * beruf: ausbildung lokführer im regionalverkehr (w/m/d) 2022 ausbildung lokführer im regionalverkehr (w/m/d) 2022
  * bewerbungsfrist: offen
  * mindestabschluss: hauptschulabschluss
  * freie ausbildungsplätze: freie plätze vorhanden
  * dauer: 3 jahre
  * referenz-nr: 113287 (in der bewerbung bitte angeben)

  bewerbungsunterlagen

  bewerbungsunterlagen:

  * vollständige bewerbungsunterlagen

  unternehmen

  deutsche bahn

  14641 nauen
  transport, logistik und verkehr 1 angebot am standort","['w', '1', 'w', 'w', 'w', '1']"
"  lokführerin im güterverkehr (w/m/d) in 14554 seddiner see gesucht

  stellenangebot im regiobizz arbeitsmarkt
  suche nach plz
  ort
  suchwort(e)

  stellenangebot basisdaten

  firma, ort:
  deutsche bahn ag, de 14554 seddiner see

  job-kategorie:
  einkauf, logistik

  letze aktualisierung:
  03.04.20222022-04-03

  online bewerben - klicken sie hier um das online bewerbungsformular zu öffnen

  stellenausschreibung: lokführerin im güterverkehr (w/m/d)

  firma
  deutsche bahn ag in seddiner see

  job-info
  zum 01. august 2022 suchen wir dich als direkteinsteigerin lokführerin für das geschäftsfeld db cargo ag an den einsatzorten angermünde, seddin oder frankfurt (oder). nach einem eingangscheck planen wir individuell innerbetriebliche anpassungen / weiterbildungen orientiert am bedarf zum einsatz als streckenlokführerin im güterzugdienst der db cargo ag. deine aufgaben: * als lokführerin im güterverkehr transportierst du vielfältige güter unserer kunden * die sichere und zeitgerechte beförderung der güter liegt in deiner verantwortung * die technische und betriebliche vorbereitung des triebfahrzeugs und des zuges, sowie das erkennen und beseitigen von kleineren störungen gehören ebenfalls zu deinen aufgaben * du bedienst verschiedene e- und diesel-lok-baureihen dein profil: * du bist ein ausgebildete triebfahrzeugführerin mit eu-führerschein und zusatzbescheinigungen in den klassen a und b2 mit mindestens 3 jahren berufserfahrung * du kannst nachweise (< 18 monate
  zurückliegend) zu direkten überwachungen (simulator und ""begleitfahrten"") beibringen * du verfügst über eine uneingeschränkte medizinische und psychologische eignung für den betriebsdienst (die tauglichkeit wird im rahmen der einstellung durch einen betriebsarzt geprüft) * schicht- und wechseldienst, auch an sonn- und feiertagen, machen dir nichts aus * verständnis für technische zusammenhänge und die bereitschaft zur weiterbildung sind für dich selbstverständlich * deine arbeitsweise zeichnet sich durch verantwortungsbewusstsein, flexibilität und kundenorientierung aus * du hast sehr gute kenntnisse der deutschen sprache in wort und schrift (mind. b2 niveau) * idealerweise bringst du einen pkw-führerschein mit viele gute gründe sprechen für einen wechsel: * theoretische und praktische unterrichtsabschnitte im rahmen der fortbildungen * du erhältst eine moderne ausbildung unter einsatz von simulatoren und tablets * bei abschluss erwirbst du die zusatzbescheinigung der db
  cargo deutschland ag * weitere tfz-baureihen, betriebsverfahren und zugsicherungssysteme werden bedarfsgerecht ausgebildet aufgaben: qualifikationen:

  arbeitsstellen werden angeboten in:

  14554 seddiner see (deutschland)

  stellenangebot powered by

  die veröffentlichung dieses stellenangebotes bei regiobizz.de erfolgt mit freundlicher genehmigung von stellenonline im namen des stellenanbieters. eine gewerbliche nutzung dieser daten sowie deren veröffentlichung in jeder form ist ohne ausdrückliche genehmigung von stellenonline strengstens untersagt.","['w', 'w']"
"  db cargo ag (032)

  trainer für triebfahrzeugführer (w/m/d)

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter. und das in ganz deutschland. ob erfahrene profis oder berufsstarter - wir bieten zahlreiche einstiegs- und weiterbildungsmöglichkeiten. zum nächstmöglichen zeitpunkt suchen wir dich als trainer für triebfahrzeugführer für die db cargo ag am standort seddiner see.
  deine aufgaben:
  * deine hauptaufgabe ist die durchführung von aus- und fortbildungsmaßnahmen für triebfahrzeugführer
  * du konzipierst und entwickelst trainings und stimmst die vorgehensweise mit anderen trainern ab
  * den wissensstand der teilnehmer überprüfst du und leitest maßnahmen zur individuellen weiterentwicklung ein
  * bei arbeitskreisen, fachkompetenzteams und projekten wirkst du mit

  dein profil:
  * du bist im besitz eines aktiven triebfahrzeugführerscheines mit zusatzbescheinigung der klasse a/b2 im güterverkehr
  * du hast mindestens 3 jahre erfahrung als triebfahrzeugführer und bringst die uneingeschränkte tauglichkeit mit
  * eine pädagogische grundausbildung bzw. die bereitschaft zum erwerb bringst du mit
  * deine hervorragende kommunikationsfähigkeit und teamfähigkeit zeichnen dich aus und du arbeitest gern selbstständig und eigeninitiativ
  * die gängigen ms office anwendungen beherrscht du

  2022-04-07

  marienallee 10a","['w', 'ms office']"
"  quereinsteiger für umschulung zum lokführer (w/m/d)
  deutsche bahn ag
  eberswalde, brandenburg, de
  vor 18 std.

  wir haben eine vielzahl wichtiger berufe, für die spezielles wissen notwendig ist. deswegen setzen wir auf menschen, die sich beruflich neu orientieren und entwickeln möchten, z.

  b. nach einer elternzeit. bereits während der umschulung bekommst du ein attraktives gehalt. nach dem quereinstieg arbeitest du dann auf augenhöhe mit deinen kollegen.

  als lokführer bist du für das sichere führen der triebfahrzeuge und die pünktliche beförderung der reisenden zuständig.

  zum nächstmöglichen zeitpunkt suchen wir dich als quereinsteiger für eine umschulung zum lokführer für das geschäftsfeld db regio ag am standort eberswalde.

  in der 11-monatigen innerbetrieblichen umschulung am ausbildungsort berlin lichtenberg bereiten wir dich auf deinen jobeinstieg vor.

  das erwartet dich bei der umschulung :
  * die umschulung findet in vollzeit (39 stunden / woche) statt und setzt sich aus theoretischen und praktischen unterrichtsabschnitten zusammen
  * der theoretische unterricht erfolgt am standort berlin lichtenberg deine praxiseinsätze finden nach möglichkeit wohnortnah statt
  * an deiner künftigen einsatzstelle sammelst du praktische erfahrungen und streckenkenntnisse
  * du erhältst eine moderne ausbildung, auch unter einsatz von simulatoren und tablets
  * mit erfolgreichem bestehen der abschlussprüfungen qualifizierst du dich zum eigenständigen führen von lok- und triebfahrzeugen
  nach deiner umschulung übernimmst du folgende tätigkeiten :
  * du sorgst dafür, dass unsere reisenden sicher, pünktlich und bequem ihr ziel erreichen
  * die sicherheitsrelevante ausstattung und technische einsatzfähigkeit der triebfahrzeuge sowie die sauberkeit und ordnung im innenraum, liegt in deinem zuständigkeitsbereich
  * gern triffst du fachkundige entscheidungen und trägst verantwortung für mensch und fahrzeug
  * kommt es zu abweichungen im fahrbetrieb, stellst du die fahrgastinformationen sicher und leistest damit maßgeblich deinen beitrag für eine hohe servicequalität
  * auch schwierigen kunden begegnest du mit geduld und einem freundlichen lächeln
  dein profil :
  * dein 20. lebensjahr hast du vollendet und bringst nachweislich einen schulabschluss und eine erfolgreich abgeschlossene berufsausbildung (vorzugsweise gewerblich-technisch) mit
  * bereitschaft in unregelmäßigen wechselschichten (nachtschicht, feiertags- und wochenendarbeit, mit täglich unterschiedlichen arbeitszeiten) zu arbeiten
  * du beherrschst die deutsche sprache in wort und schrift (mind. b1)
  * lernbereitschaft, zuverlässigkeit und engagement sind für dich selbstverständlich
  * mit einem aktuellen auszug aus dem fahreignungsregister kannst du belegen, dass du ein zuverlässiger verkehrsteilnehmer bist (punkte sind kein grundsätzliches ausschlusskriterium)
  * du bist bereit, deine medizinische und psychologische eignung nachweisen zu lassen (prüfung erfolgt im rahmen des auswahlprozesses durch einen betriebsarzt)
  bewerbungen bereits ausgebildeter lokführer sind selbstverständlich ebenso willkommen.
  bewerbungen bereits ausgebildeter lokführer sind selbstverständlich ebenso willkommen.
  benefits :
  * du erhältst bis zu 16 freifahrten innerhalb deutschlands pro jahr und weitere fahrvergünstigungen für deine freunde und familie.
  * du profitierst von vergünstigungen in den bereichen shopping, freizeitwelt, reisen und bahnangebote. die monatlich wechselnden angebote beinhalten z.
  b. mobilfunkverträge, versicherungen, stromtarife, vergünstigungen bei hotelketten, mode und lifestyle.
  * wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.
  chancengleichheit und selbstbestimmte teilhabe schwerbehinderter und gleichgestellter sowie eine respektvolle zusammenarbeit sind innerhalb des db konzerns fest verankerte grundsätze.
  deshalb werden schwerbehinderte bewerber bei gleicher eignung bei bevorzugt berücksichtigt.

  melde diesen job

  thank you for reporting this job!

  your feedback will help us improve the quality of our services.",['w']
"  ausbildung lokführer im regionalverkehr (w/m/d) 2022

  deutsche bahn rathenow, brandenburg vollzeit
  auf der unternehmensseite bewerben
  die deutsche bahn ist eine der vielfältigsten arbeitgeberinnen deutschlands. wir suchen jedes jahr deutschlandweit über 3.000 auszubildende in 50 berufen, die mit uns gemeinsam noch besser werden wollen.

  zum 1. september 2022 suchen wir dich für die 3-jährige ausbildung zum lokführer (eisenbahner im betriebsdienst fachrichtung lokführer/ transport (w/m/d)) bei der db regio ag in nauen/rathenow. die gesamte praktische und theoretische ausbildung findet in berlin statt. die übernahme nach der ausbildung ist für nauen/rathenow geplant.
  deine aufgaben:
  während deiner ausbildung zum lokführer
  * machst du dich mit den regeln des sicheren und reibungslosen bahnbetriebs vertraut
  * lernst du das rangieren, bereitstellen und fahren von zügen im regelbetrieb und bei abweichung vom regelbetrieb
  * erfährst du, wie man fahrzeugstörungen erkennt und beseitigt
  * sorgst du dafür, dass unsere kunden sicher, pünktlich und zuverlässig ihr ziel erreichen
  dein profil:
  * du hast die mittlere reife (bald) erfolgreich abgeschlossen und spaß an technik
  * du bist bereit, auch am wochenende und an feiertagen zu arbeiten
  * du bist verantwortungsbewusst, belastbar und zuverlässig
  * du bewahrst auch in schwierigen situationen die ruhe und behältst den überblick
  * du scheust dich nicht davor, verantwortung zu übernehmen und entscheidungen zu treffen
  * du möchtest während deiner ausbildung das großstadtleben kennenlernen aber siehst deine langfristige zukunft in deiner ländlichen heimatregion

  für diese stelle erwartet dich im rahmen des auswahlprozesses eine eignungsuntersuchung. auf unserer karriereseite erfährst du alles über die hintergründe, den ablauf und die ideale vorbereitung.
  benefits:
  * je nach ausbildungsjahr zwischen 1.019 euro und 1.222 euro im monat sowie ein 13. monatsgehalt. die beschäftigungsbedingungen gelten für den weit überwiegenden teil der auszubildenden im db konzern.
  * wir bieten dir 16 freifahrten innerhalb deutschlands pro jahr und weitere fahrvergünstigungen wie z.b. db job-ticket für deinen täglichen arbeitsweg.
  * zuschuss bis 350 ? monatlich.

  chancengleichheit und selbstbestimmte teilhabe schwerbehinderter und gleichgestellter sowie eine respektvolle zusammenarbeit sind innerhalb des db konzerns fest verankerte grundsätze. deshalb werden schwerbehinderte bewerber bei gleicher eignung bei bevorzugt berücksichtigt.

  job id: 113287","['w', '1', 'w']"
"  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter. und das in ganz deutschland. ob erfahrene profis oder berufsstarter - wir bieten zahlreiche einstiegs- und weiterbildungsmöglichkeiten.
  deine vorteile

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  freizeit sponsored by bahn

  du profitierst von vergünstigungen in den bereichen shopping, freizeitwelt, reisen und bahnangebote. die monatlich wechselnden angebote beinhalten z.b. mobilfunkverträge, versicherungen, stromtarife, vergünstigungen bei hotelketten, mode und lifestyle.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  zum nächstmöglichen zeitpunkt suchen wir dich als trainer für triebfahrzeugführer für die db cargo ag am standort seddiner see.
  deine aufgaben:
  * deine hauptaufgabe ist die durchführung von aus- und fortbildungsmaßnahmen für triebfahrzeugführer
  * du konzipierst und entwickelst trainings und stimmst die vorgehensweise mit anderen trainern ab
  * den wissensstand der teilnehmer überprüfst du und leitest maßnahmen zur individuellen weiterentwicklung ein
  * bei arbeitskreisen, fachkompetenzteams und projekten wirkst du mit

  dein profil:
  * du bist im besitz eines aktiven triebfahrzeugführerscheines mit zusatzbescheinigung der klasse a/b2 im güterverkehr
  * du hast mindestens 3 jahre erfahrung als triebfahrzeugführer und bringst die uneingeschränkte tauglichkeit mit
  * eine pädagogische grundausbildung bzw. die bereitschaft zum erwerb bringst du mit
  * deine hervorragende kommunikationsfähigkeit und teamfähigkeit zeichnen dich aus und du arbeitest gern selbstständig und eigeninitiativ
  * die gängigen ms office anwendungen beherrscht du

  deine vorteile

  arbeitsplätze deutschlandweit

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  attraktive konditionen

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i.d.r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen und eine betriebliche altersvorsorge.

  freizeit sponsored by bahn

  du profitierst von vergünstigungen in den bereichen shopping, freizeitwelt, reisen und bahnangebote. die monatlich wechselnden angebote beinhalten z.b. mobilfunkverträge, versicherungen, stromtarife, vergünstigungen bei hotelketten, mode und lifestyle.

  individuelle weiterentwicklung

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  stabilität und sicherheit

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.",['ms office']
"  quereinstieg/ qualif. triebfahrzeugführer/lokführer (m/w/d)

  * eisenhüttenstadt
  * veröffentlicht vor 6 stunden

  odeg ostdeutsche eisenbahn gmbh

  die odeg - ostdeutsche eisenbahn gmbh ist ein eisenbahnverkehrsunternehmen, das seit 2002 mit rund 495 mitarbeiterinnen und mitarbeitern und 49 fahrzeugen täglich nahverkehrsleistungen zwischen wismar und zittau erbringt.

  sie suchen einen neuen, spannenden job, begeistern sich für technik und schichtdienst ist kein problem für sie ist? dann sind sie bei der odeg genau richtig.

  werden sie triebfahrzeugführer/ lokführer (m/w/d) bei der odeg

  ihr aufgaben:
  - sie sind verantwortlich für das sichere und zuverlässige bedienen unserer triebwagen im schienenpersonennahverkehr in den bundesländern berlin, brandenburg, mecklenburg-vorpommern und sachsen
  - sie gewährleisten ordnung und sicherheit in den triebfahrzeugen sie führen den vorbereitungs- und abschlussdienst aus (inkl. erforderlicher zusatzarbeiten wie z.b. entsorgung des wc-systems)
  - sie sichern eine verständliche und umfassende fahrgastinformation
  - sie unterstützen die servicemitarbeiter/-in bei der fahrgastbetreuung und geben hilfestellung für mobilitätseingeschränkte fahrgäste

  ihr profil:

  - ggf. vorbesitz des eisenbahnfahrzeugführerschein klasse 3 oder klasse b oder die bereitschaft dazu, diesen zu erwerben
  - idealerweise ausbildung für verschiedene fahrzeugtypen, bevorzugt für die br 650, br 643, br 646, br 642 und/oder br 445
  - flexibilität und bereitschaft zur schichtarbeit
  - verantwortungsbewusstsein, ausdauer bei schwierigen aufgaben sowie besonnenes handeln in hektischen situationen
  - absolute zuverlässigkeit und pünktlichkeit
  - gute deutschkenntnisse in wort und schrift
  - mobilität (führerschein und kfz)

  ***** sie haben noch keine ausbildung als triebfahrzeugführer (m/w/d) möchten aber gern diesen beruf ausüben?

  dann lassen sie sich von der agentur für arbeit beraten.
  für die qualifizierung wäre ein bildungsgutschein der arbeitsagentur wünschenswert.*****

  *** die nächste elfmonatige qualifizierung startet am 14.11.2022 in berlin.***

  ##### wir bieten regelmäßig online-infoveranstaltungen für interessierte bewerber an:
  https://www.odeg-karriere.de/infoveranstaltungen ####

  wir freuen uns auf ihre bewerbung!

  um sich für diesen job zu bewerben, sende deine unterlagen per e-mail an bewerbung@odeg.de
  __________________________________________________

  sie können sich auch online über folgenden button bewerben:","['w', 'w', 'w', 'e-mail']"
