Parent_Url,Tool_Url,Type,Accuracy,Prediction,ScyPy Classification,Parent URL Alternate Labels,Tool Url Alternate Labels
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/Free_Lossless_Image_Format,CountVectorizer,0.8826530612244898,Concept,TOOL,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['FLIF', 'Flif']"
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/Free_Lossless_Image_Format,TF-IDF,0.8877551020408163,Concept,TOOL,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['FLIF', 'Flif']"
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/Free_Lossless_Image_Format,TF-IDF (ngram),0.8673469387755102,Concept,TOOL,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['FLIF', 'Flif']"
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/RGBE_image_format,CountVectorizer,0.8826530612244898,Concept,CONCEPT,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['Radiance HDR', 'Rgb exponent']"
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/RGBE_image_format,TF-IDF,0.8877551020408163,Concept,CONCEPT,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['Radiance HDR', 'Rgb exponent']"
https://dbpedia.org/page/Lossless_compression,http://dbpedia.org/resource/RGBE_image_format,TF-IDF (ngram),0.8673469387755102,Concept,CONCEPT,"['Benchmarks for lossless compression', 'List of lossless compression methods', 'Reversible compression', 'Lossless 3D compression', 'Generic Compression Benchmark', 'Lossless Video Compression', 'Calgary Challenge', 'Data compression/lossless', 'Magic compression algorithm', 'Maximum Compression Benchmark', 'General purpose lossless compression methods', 'Lossless compression benchmarks', 'Lossless data compression', 'Lossless', 'Loseless', 'Lossless codec', 'Lossless encoder', 'Lossless encoding', 'Lossless format', 'Losslessly']","['Radiance HDR', 'Rgb exponent']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Blade_(archaeology),CountVectorizer,0.8826530612244898,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Flake knife', 'Lithic blade']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Blade_(archaeology),TF-IDF,0.8877551020408163,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Flake knife', 'Lithic blade']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Blade_(archaeology),TF-IDF (ngram),0.8673469387755102,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Flake knife', 'Lithic blade']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Didactic_method,CountVectorizer,0.8826530612244898,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Didactic transposition', 'Didact', 'Didactics', 'Didacts']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Didactic_method,TF-IDF,0.8877551020408163,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Didactic transposition', 'Didact', 'Didactics', 'Didacts']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Didactic_method,TF-IDF (ngram),0.8673469387755102,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Didactic transposition', 'Didact', 'Didactics', 'Didacts']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Behavioral_modernity,CountVectorizer,0.8826530612244898,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Cultural explosion', 'Great Leap Forward (evolution)', 'Human evolution (origins of society and culture)', 'The Human Revolution (human origins)', 'Upper Palaeolithic Revolution', 'Upper Paleolithic Revolution', 'Upper Paleolithic revolution', 'Paleolithic Revolution', 'Paleolithic revolution', 'Behaviorally modern human', 'Behaviorally modern humans', 'Behavioural modernity', 'Behaviourally modern humans', 'Creative explosion', 'Human behavioral modernity', 'Modern behaviour', 'Modern human behavior', 'Modern human behaviour']"
http://dbpedia.org/resource/Knowledge_transfer,http://dbpedia.org/resource/Behavioral_modernity,TF-IDF,0.8877551020408163,Concept,CONCEPT,"['Knowledge transfer and exchange', 'Transfer of information', 'Transfer of knowledge', 'Research practice gap', 'Knowledge exchange', '(Szulanski 1996)', 'Knowledge flow', 'Knowledge flows', 'Knowledge transmission']","['Cultural explosion', 'Great Leap Forward (evolution)', 'Human evolution (origins of society and culture)', 'The Human Revolution (human origins)', 'Upper Palaeolithic Revolution', 'Upper Paleolithic Revolution', 'Upper Paleolithic revolution', 'Paleolithic Revolution', 'Paleolithic revolution', 'Behaviorally modern human', 'Behaviorally modern humans', 'Behavioural modernity', 'Behaviourally modern humans', 'Creative explosion', 'Human behavioral modernity', 'Modern behaviour', 'Modern human behavior', 'Modern human behaviour']"
