First Domain,%GT Count of First Domain,Year
computer system,2.86%,2022
internet,2.86%,2022
artificial intelligence,2.62%,2022
computer communication networks,2.62%,2022
computer imaging and vision,2.62%,2022
computer network,2.62%,2022
computer security,2.62%,2022
human computer interaction,2.62%,2022
natural language,2.62%,2022
computer hardware,2.38%,2022
hardware,2.38%,2022
computer programming,2.26%,2022
software engineering,2.26%,2022
data mining,2.14%,2022
information technology,2.14%,2022
theoretical computer science,2.02%,2022
computer operating systems,1.90%,2022
information retrieval,1.90%,2022
operating system,1.90%,2022
signal processing,1.90%,2022
elearning,1.79%,2022
bioinformatics,1.55%,2022
correlation analysis,1.55%,2022
medical informatics,1.55%,2022
regression analysis,1.55%,2022
robotics,1.55%,2022
statistical analysis,1.55%,2022
statistical model,1.55%,2022
statistics,1.55%,2022
probability,1.43%,2022
automation,1.31%,2022
numerical analysis,1.31%,2022
software,1.31%,2022
speech communication,1.31%,2022
curricula,1.19%,2022
matrix algebra,1.19%,2022
numerical method,1.19%,2022
cad,1.07%,2022
control theory,1.07%,2022
commerce,0.95%,2022
information theory,0.95%,2022
sales,0.95%,2022
telephone,0.95%,2022
computer-assisted language learning,0.83%,2022
semantic web applications,0.83%,2022
approximation theory,0.71%,2022
electricity,0.71%,2022
health expenditures,0.71%,2022
investment,0.71%,2022
ontology,0.71%,2022
optimization,0.71%,2022
semantic technology,0.71%,2022
semantic web,0.71%,2022
semantic web technology,0.71%,2022
translation %28languages%29,0.71%,2022
boolean function,0.60%,2022
finite element method,0.60%,2022
mathematical transformations,0.60%,2022
social psychology,0.60%,2022
augmentative and alternative communication,0.48%,2022
computer assisted language learning,0.48%,2022
digital arithmetic,0.48%,2022
educational technology,0.48%,2022
formal languages,0.48%,2022
maximum likelihood estimation,0.48%,2022
programming language,0.48%,2022
social aspect,0.48%,2022
social science,0.48%,2022
social status,0.48%,2022
social support,0.48%,2022
economic and social effects,0.36%,2022
economic development,0.36%,2022
fault detection,0.36%,2022
knowledge representation,0.36%,2022
object-oriented languages,0.36%,2022
societies%2C pharmaceutical,0.36%,2022
wavelet transform,0.36%,2022
cloud service,0.24%,2022
curve fitting,0.24%,2022
functional languages,0.24%,2022
higher education institutions,0.24%,2022
laser communication,0.24%,2022
vehicles,0.24%,2022
anonymous communication,0.12%,2022
conformal mapping,0.12%,2022
context aware applications,0.12%,2022
cooperative communication,0.12%,2022
data cube,0.12%,2022
hardware description languages,0.12%,2022
hyperspectral image,0.12%,2022
machine to machines,0.12%,2022
meta-programming,0.12%,2022
new teaching,0.12%,2022
object constraint language,0.12%,2022
partial differential equation,0.12%,2022
partial differential equations %28pde%29,0.12%,2022
teaching model,0.12%,2022
teaching process,0.12%,2022
teaching quality,0.12%,2022
type system,0.12%,2022
